movie_id,movie_name,genre
49,The Indian in the Cupboard,Family
49,The Indian in the Cupboard,Adventure
49,The Indian in the Cupboard,Fantasy
50,Money Train,Action
50,Money Train,Comedy
50,Money Train,Crime
50,Money Train,Drama
50,Money Train,Thriller
51,Independence Day,Action
51,Independence Day,Adventure
51,Independence Day,Sci-Fi
52,Twister,Action
52,Twister,Adventure
52,Twister,Drama
52,Twister,Thriller
53,Mission: Impossible,Action
53,Mission: Impossible,Adventure
53,Mission: Impossible,Thriller
54,Jerry Maguire,Comedy
54,Jerry Maguire,Drama
54,Jerry Maguire,Romance
54,Jerry Maguire,Sport
55,Ransom,Crime
55,Ransom,Thriller
56,101 Dalmatians (1996),Adventure
56,101 Dalmatians (1996),Comedy
56,101 Dalmatians (1996),Family
57,The Rock,Action
57,The Rock,Adventure
57,The Rock,Thriller
58,The Nutty Professor (1996),Comedy
58,The Nutty Professor (1996),Romance
58,The Nutty Professor (1996),Sci-Fi
59,The Birdcage,Comedy
60,A Time to Kill,Crime
60,A Time to Kill,Drama
60,A Time to Kill,Thriller
61,The First Wives Club,Comedy
62,Phenomenon,Drama
62,Phenomenon,Fantasy
62,Phenomenon,Romance
62,Phenomenon,Sci-Fi
63,Scream,Horror
63,Scream,Mystery
64,Eraser,Action
64,Eraser,Drama
64,Eraser,Mystery
64,Eraser,Thriller
65,The Hunchback of Notre Dame,Animation
65,The Hunchback of Notre Dame,Drama
65,The Hunchback of Notre Dame,Family
65,The Hunchback of Notre Dame,Musical
65,The Hunchback of Notre Dame,Romance
66,Michael,Comedy
66,Michael,Drama
66,Michael,Fantasy
67,Star Trek: First Contact,Action
67,Star Trek: First Contact,Adventure
67,Star Trek: First Contact,Sci-Fi
67,Star Trek: First Contact,Thriller
68,Space Jam,Animation
68,Space Jam,Adventure
68,Space Jam,Comedy
68,Space Jam,Family
68,Space Jam,Fantasy
68,Space Jam,Sci-Fi
68,Space Jam,Sport
69,The English Patient,Drama
69,The English Patient,Romance
69,The English Patient,War
70,Broken Arrow (1996),Action
70,Broken Arrow (1996),Adventure
70,Broken Arrow (1996),Comedy
70,Broken Arrow (1996),Thriller
71,Beavis and Butt-Head Do America,Animation
71,Beavis and Butt-Head Do America,Adventure
71,Beavis and Butt-Head Do America,Comedy
71,Beavis and Butt-Head Do America,Crime
72,Jingle All the Way,Comedy
72,Jingle All the Way,Family
73,The Cable Guy,Comedy
73,The Cable Guy,Drama
73,The Cable Guy,Thriller
74,Courage Under Fire,Action
74,Courage Under Fire,Drama
74,Courage Under Fire,Mystery
74,Courage Under Fire,Thriller
74,Courage Under Fire,War
75,Jack,Comedy
75,Jack,Drama
75,Jack,Fantasy
76,Executive Decision,Action
76,Executive Decision,Adventure
76,Executive Decision,Thriller
77,Primal Fear,Crime
77,Primal Fear,Drama
77,Primal Fear,Mystery
77,Primal Fear,Thriller
78,Tin Cup,Comedy
78,Tin Cup,Drama
78,Tin Cup,Romance
78,Tin Cup,Sport
79,Sleepers,Crime
79,Sleepers,Drama
79,Sleepers,Thriller
80,Dragonheart,Action
80,Dragonheart,Adventure
80,Dragonheart,Drama
80,Dragonheart,Fantasy
81,Up Close and Personal,Drama
81,Up Close and Personal,Romance
82,Evita,Biography
82,Evita,Drama
82,Evita,History
82,Evita,Musical
83,The Preacher's Wife,Comedy
83,The Preacher's Wife,Drama
83,The Preacher's Wife,Fantasy
83,The Preacher's Wife,Romance
84,Romeo + Juliet,Drama
84,Romeo + Juliet,Romance
85,One Fine Day,Comedy
85,One Fine Day,Drama
85,One Fine Day,Romance
86,The Mirror Has Two Faces,Comedy
86,The Mirror Has Two Faces,Drama
86,The Mirror Has Two Faces,Romance
87,Happy Gilmore,Comedy
87,Happy Gilmore,Sport
88,The Ghost and the Darkness,Adventure
88,The Ghost and the Darkness,Drama
88,The Ghost and the Darkness,Thriller
89,Mars Attacks!,Comedy
89,Mars Attacks!,Sci-Fi
90,Set It Off,Action
