movie_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice,img_movie
11,Madagascar 3: Europe's Most Wanted,cast,5,Sacha Baron Cohen,56187,http://s3.amazonaws.com/brianfoo_art/hollywood/56187.jpg,m,w,"His father, born in Wales and raised in England, is of Eastern European Jewish descent, while his mother was born in Israel, to German Jewish parents",http://www.imdb.com/name/nm0056187/bio,1,https://i.ytimg.com/vi/lnRbxIHi9zw/maxresdefault.jpg
12,Ted,cast,1,Mark Wahlberg,242,http://s3.amazonaws.com/brianfoo_art/hollywood/242.jpg,m,w,"Irish, Swedish (from his paternal grandfather), and more distant French-Canadian and English",http://www.imdb.com/name/nm0000242/bio,0,http://assets1.ignimgs.com/2014/06/25/ted-2jpg-b68d98_1280w.jpg
12,Ted,cast,2,Mila Kunis,5109,http://s3.amazonaws.com/brianfoo_art/hollywood/5109.jpg,f,w,Ashkenazi Jewish,http://www.imdb.com/name/nm0005109/bio,0,https://jeffreyklyles.files.wordpress.com/2012/06/mila-kunis-in-ted.jpg
12,Ted,cast,3,Seth MacFarlane,532235,http://s3.amazonaws.com/brianfoo_art/hollywood/532235.jpg,m,w,"English, Scottish, and Irish",http://www.imdb.com/name/nm0532235/bio,1,http://cdn.collider.com/wp-content/uploads/Seth-MacFarlane-Ted-movie-1.jpg
12,Ted,cast,4,Joel McHale,570364,http://s3.amazonaws.com/brianfoo_art/hollywood/570364.jpg,m,w,"Norwegian, Finnish, and English",http://www.imdb.com/name/nm0570364/bio,0,http://i.imgbox.com/abqWRA3Q.png
12,Ted,cast,5,Giovanni Ribisi,610,http://s3.amazonaws.com/brianfoo_art/hollywood/610.jpg,m,w,"Italian (from his paternal grandfather), English, and German ",http://www.imdb.com/name/nm0000610/bio,0,http://rebzombie.com/wp-content/uploads/2014/01/Ted-4.jpg
13,Brave,cast,1,Kelly Macdonald,531808,http://s3.amazonaws.com/brianfoo_art/hollywood/531808.jpg,f,w,Scottish,http://www.imdb.com/name/nm0531808/bio,1,https://i.ytimg.com/vi/Rwp2F4xa29w/maxresdefault.jpg
13,Brave,cast,2,Billy Connolly,175262,http://s3.amazonaws.com/brianfoo_art/hollywood/175262.jpg,m,w,"Irish, Scottish",https://en.wikipedia.org/wiki/Billy_Connolly#Ancestry,1,https://i.ytimg.com/vi/yoc-uIL8fhw/maxresdefault.jpg
13,Brave,cast,3,Emma Thompson,668,http://s3.amazonaws.com/brianfoo_art/hollywood/668.jpg,f,w,"Scottish, English",http://www.imdb.com/name/nm0000668/bio,1,https://i.ytimg.com/vi/oVVCSt31N2M/maxresdefault.jpg
13,Brave,cast,4,Julie Walters,910278,http://s3.amazonaws.com/brianfoo_art/hollywood/910278.jpg,f,w,"Irish, English",http://www.imdb.com/name/nm0910278/bio,1,https://i.ytimg.com/vi/HPYykMCJwRs/maxresdefault.jpg
13,Brave,cast,5,Robbie Coltrane,1059,http://s3.amazonaws.com/brianfoo_art/hollywood/1059.jpg,m,w,Scottish,https://en.wikipedia.org/wiki/Robbie_Coltrane,1,https://i.ytimg.com/vi/s2nuP8Ltos4/maxresdefault.jpg
14,The Amazing Spider-Man,cast,1,Andrew Garfield,1940449,http://s3.amazonaws.com/brianfoo_art/hollywood/1940449.jpg,m,w,"Polish, Russian, Romanian Jew",http://www.imdb.com/name/nm1940449/bio,0,https://emmastone.link/images/andrew-garfield/andrew-garfield-the-amazing-spiderman-set-lunettes-oliver-peoples-the-amazing-spider-man-83e8ef518174e1eb6be4a0778d050c9d-large-1599.jpg
14,The Amazing Spider-Man,cast,2,Emma Stone,1297015,http://s3.amazonaws.com/brianfoo_art/hollywood/1297015.jpg,f,w,"Swedish (from her paternal grandfather), English, German, Scottish, and Irish",http://www.imdb.com/name/nm1297015/bio,0,https://tommygirard.files.wordpress.com/2012/07/ws_the_amazing_spider-man_emma_stone_1600x1200.jpg
14,The Amazing Spider-Man,cast,3,Rhys Ifans,406975,http://s3.amazonaws.com/brianfoo_art/hollywood/406975.jpg,m,w,Welsh,http://www.imdb.com/name/nm0406975/bio,0,http://thevintagepress.co/photos/rhys-ifans/rhys-ifans-amazing-spider-man-518423369081c55a35f1bacc766075ac-big-127876.jpg
14,The Amazing Spider-Man,cast,4,Denis Leary,1459,http://s3.amazonaws.com/brianfoo_art/hollywood/1459.jpg,m,w,Irish,http://www.imdb.com/name/nm0001459/bio,0,http://dl9fvu4r30qs1.cloudfront.net/f3/a18bf071b711e1bcc4123138165f92/file/the-amazing-spider-man-takes-a-leaf-from-the-dark-knight-marketing-playbook-with-new-viral-ad-starring-denis-leary.jpg
14,The Amazing Spider-Man,cast,5,Martin Sheen,640,http://s3.amazonaws.com/brianfoo_art/hollywood/640.jpg,m,"w,h","Irish, Spanish",http://www.imdb.com/name/nm0000640/bio,0,https://tfgeekgirl.files.wordpress.com/2012/12/martinsheen-theamazingspider-man.jpg
15,The Twilight Saga: Breaking Dawn Part 2,cast,1,Kristen Stewart,829576,http://s3.amazonaws.com/brianfoo_art/hollywood/829576.jpg,f,w,,,0,http://cdn.collider.com/wp-content/uploads/kristen-stewart-twilight-breaking-dawn-part-2.jpg
15,The Twilight Saga: Breaking Dawn Part 2,cast,2,Robert Pattinson,1500155,http://s3.amazonaws.com/brianfoo_art/hollywood/1500155.jpg,m,w,,,0,http://www.filmofilia.com/wp-content/uploads/2012/11/Twilight-Breaking-Dawn-Part-2_26.jpg
